3400 qiū
3401 tiàn
3404 kuà
3405 wǔ
3406 yǐn
340C yí
3416 xié
341C chóu
3421 nuò
3424 dān,qiú
3428 xù
3429 xíng
342B xiōng
342C liú
342D lǐn
342E xiāng
342F yōng
3430 xìn
3431 zhěn
3432 dài
3433 wù
3434 pān
3437 mǎ
3438 qiàn,cì
3439 yì
343A yín,zhòng
343B nèi
343C chèng
343D fēng
3441 zhuō
3442 fǎng
3443 ǎo
3444 wǔ
3445 zuò
3447 zhòu
3448 dòng
3449 sù
344A yì
344B qióng
344C kuāng
344D lèi
344E nǎo
344F zhù
3450 shū
3454 xǔ
3457 shēn
3458 jiè
3459 dié
345A nuó
345B sù
345C yì,chì
345D lòng
345E yìng
345F běng
3463 lán
3464 miáo
3465 yì
3466 lì
3467 jì
3468 yǔ
3469 luó
346A chái
346E hún
346F xǔ
3470 huì
3471 rǎo
3473 zhòu
3475 hàn
3476 xì
3477 tài
3478 yáo
3479 huì
347A jùn
347B mà
347C lüè
347D táng
347E yáo
347F zhào
3480 zhāi,zhǎ
3481 yǔ
3482 zhuó
3483 èr
3484 rǎn
3485 qǐ
3486 chì
3487 wǔ
3488 hàn
3489 tǎng
348A sè
348C qióng
348D léi
348E sà
3491 kuǐ,huì
3492 pú
3493 tà
3494 shú,dú,tù
3495 yāng
3496 ǒu
3497 tái
3499 mián
349A yìn,wěn
349B diào
349C yǔ
349D miè,wà
349E jùn
349F niǎo
34A0 xiè
34A1 yóu
34A4 chè
34A5 fēng
34A6 lěi,lèi
34A7 lì
34A9 luǒ
34AB jì
34B0 quán
34B2 cái
34B3 liǎng
34B4 gǔ
34B5 mào
34B7 guǎ
34B8 suì
34BB mào
34BC mán
34BD quān
34BE shì
34BF lí
34C1 wǎng
34C2 kòu
34C3 dù
34C4 zhèn
34C5 tīng
34C8 bìng
34C9 huò
34CA dòng
34CB gòng
34CC chēng
34CE qīn,qìn,qǐn
34CF jiǒng
34D0 lù
34D1 xìng
34D3 nán
34D4 xiè
34D6 bì
34D7 jié
34D8 sù
34DA gōng
34DC yòu
34DD xíng
34DE qià
34DF pí
34E0 diàn,diǎn
34E1 fǔ,guā
34E2 luò
34E3 qià,gē
34E4 qià
34E5 tāng
34E6 bāi
34E7 gān
34E8 cí
34E9 xuān,jiē
34EA lǎng
34ED shé
34EF lí
34F0 huà
34F1 tóu,shū
34F2 piān
34F3 dī
34F4 ruǎn
34F5 è
34F6 qiè
34F7 yì
34F8 zhuō,dōu
34F9 ruì,cuì,jì
34FA jiān,qián
34FC chì
34FD chóng
34FE xī,chí
3500 lüè
3501 dēng
3502 lín
3503 jué,xuē
3504 sù
3505 xiào
3506 zàn
3509 zhǔ
350A zhǎn,dǎn
350B jiān,lán
350C zòu,cǒu
350D chuā,zhá
350E xiè
350F lì,luǒ
3511 chì
3512 xí
3513 jiǎn
3515 jí
3517 fèi,bèi,fú
3518 chù
3519 bēng
351A jié
351C bá
351D liǎng,liáng
351E kuài
3520 xiā,hé
3521 biē
3522 jué,xuē
3523 léi
3524 xìn
3525 bài,pí
3526 yǎng
3527 lǜ
3528 bèi
3529 è
352A lǔ
352D chè
352E nuó
352F xuán,suǎn
3530 héng
3531 yǔ
3533 guǐ
3534 yì
3535 xuǎn
3536 gòng,gǎn
3537 lòu
3538 tī
3539 lè
353A shì
353C sǔn
353D yào
353E xiān,jié
353F zòu
3541 què
3542 yín,qín
3543 xī
3544 zhǐ
3545 jiá
3546 hù
3547 lā
3548 yǐ
3549 kè
354A fū
354B qín
354C ài
354E kè
354F chú
3550 xiě,xiè
3551 chú
3552 wēi
3555 huàn
3556 sù
3557 yòu
3559 jùn
355A zhǎo
355B xù
355C shǐ
355E shuā
355F kuì,kuài
3560 shuāng
3561 hé
3562 gài,hài
3563 yǎn
3564 qiú
3565 shēn
3566 huà
3567 xī
3568 fàn
3569 pàng
356A dǎn
